id,road_distance_nan,road_distance_living_street,road_distance_motorway,road_distance_primary,road_distance_residential,road_distance_secondary,road_distance_service,road_distance_tertiary,road_distance_trunk,road_distance_unclassified,road_count_nan,road_count_living_street,road_count_motorway,road_count_primary,road_count_residential,road_count_secondary,road_count_service,road_count_tertiary,road_count_trunk,road_count_unclassified
2bfaa379d11c6736b990620683bdbcd6,1000,1000.0,1000.0,1000.0,5.632201225473366,86.04702866813166,84.9383124109043,1000.0,21.480317300403293,1000.0,0.0,0.0,0.0,0.0,29.0,8.0,32.0,0.0,8.0,0.0
2c042f7d0e1b0e9fafa199c1f992ab37,1000,1000.0,476.2040045978292,1000.0,136.42663903324154,479.07242765484887,7.37076540605242,31.15915561156076,1000.0,243.1619853973454,0.0,0.0,8.0,0.0,70.0,2.0,152.0,68.0,0.0,4.0
2c6c54a18fc686d0507c67a87f39d59c,1000,411.063833004801,1000.0,1000.0,59.39798369012637,202.48499013161185,1.1072813034338267,188.89363888330885,1000.0,48.642915308234286,0.0,6.0,0.0,0.0,103.0,11.0,41.0,16.0,0.0,1.0
2c780292712207ec838898e49f0919c7,1000,1000.0,1000.0,1000.0,1000.0,1000.0,61.66583095365501,1000.0,183.30767124370743,71.32492917949865,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,30.0
2c84d301ba7ebed9b881d8d7bda52af0,1000,1000.0,88.36877790248955,96.8963812578871,493.7964082131156,1000.0,6.630010881566889,1000.0,1000.0,53.817228576192555,0.0,0.0,8.0,15.0,1.0,0.0,24.0,0.0,0.0,11.0
2cd2d96bde66f805f631b4f6b2e905d3,1000,1000.0,45.08702488460238,1000.0,232.28549742162744,195.06029206031303,3.698488766451311,143.4110364080622,1000.0,101.10788228085852,0.0,0.0,6.0,0.0,20.0,27.0,201.0,17.0,0.0,6.0
2d0a01dd4798c193f3946df72a3181cb,1000,1000.0,69.82464244268436,1000.0,427.60600256438966,450.45914460451206,4.897876974504138,45.858700134760895,1000.0,20.92455232168548,0.0,0.0,13.0,0.0,1.0,1.0,82.0,41.0,0.0,8.0
2d160613f0deeb716cd6ed88a0b44ae3,1000,1000.0,1000.0,74.17826241113528,41.31914255989668,392.00505819285615,8.89309866214254,34.773263548458495,1000.0,143.9550007646441,0.0,0.0,0.0,23.0,62.0,5.0,103.0,15.0,0.0,2.0
2d37cab9a9746b13df931fbdc2bcf831,1000,485.3728470936293,1000.0,82.18955017040109,52.2797676121549,309.9822238980443,2.921962284483252,380.23346932935885,1000.0,19.638255261564737,0.0,2.0,0.0,12.0,41.0,3.0,52.0,5.0,0.0,13.0
2d5de4ebd8dfaf0138065ee77d9e8623,1000,1000.0,1000.0,1000.0,325.1710009682118,1000.0,55.53513014372552,324.6066367817939,1000.0,0.0450596695683946,0.0,0.0,0.0,0.0,2.0,0.0,37.0,3.0,0.0,3.0
