id,size_total,active_days_count,percentage_average,average_daily_minutes,capacity_kw,station_name,country_name,calendar_day_count,geometry,living_street_dist,motorway_dist,primary_dist,residential_dist,secondary_dist,road_service_dist,tertiary_dist,trunk_dist,unclassified_dist,road_count_living_street,motorway_count,primary_count,road_count_residential,secondary_count,road_service_count,tertiary_count,trunk_count,unclassified_count,operator,accommodation_count,activities_count,beauty_count,cafe_and_restaurant_count,clothing_count,electronics_count,food_count,supermarket_count,hobby_count,home_count,medical_count,public_service_count,service_count,shopping_center_count,religious_count,accommodation_dist,activities_dist,beauty_dist,cafe_and_restaurant_dist,clothing_dist,electronics_dist,food_dist,grocery_dist,hobby_dist,home_dist,medical_dist,public_service_dist,service_dist,shopping_center_dist,religious_dist,occupation_rate,population,total_time_spent,lng,lat,good_feature_score,score_performance,occupation_rank
1ea57a546faf071b6623896c38dd2e37,6,256,0.485497334455668,6.99116161616162,200,Vattenfall - Trossvägen 8,Sweden,396,POINT (15.66388 60.60603),374.33,1000,1000,168.61,1000,6.88,1000,53.84,66.21,1,0,0,26,0,96,0,16,23,Vattenfall SE,0,7,0,1,0,1,0,1,3,2,0,3,7,4,0,1000,313.37,1000,305.86,1000,138.66,1000,318.11,148.81,106.04,1000,492.91,40.13,40.18,1000,"(0.0, 3.115]",3.45,397.5,15.66388,60.60603,3.6,1244,10
75b475b01be50687c7ffd3caf06b67b5,20,327,0.484567901234568,6.97777777777778,200,Norra kringelvägen 70,Sweden,396,POINT (13.7587 56.17021),486.75,1000,1000,240.63,87.81,18.72,1000,1000,117.47,1,0,0,17,23,29,0,0,18,Vattenfall SE,0,6,0,1,0,0,0,1,0,2,0,1,5,1,0,1000,337.65,1000,397.31,1000,1000,1000,312.38,1000,275.82,1000,424.99,74.17,214.22,1000,"(0.0, 3.115]",5.86,337.5,13.7587,56.17021,2.4,1245,10
40a7f6c489667a262d213ad054f2395a,5,186,0.484462682379349,6.97626262626263,150,Recharge McDonalds Arboga,Sweden,396,POINT (15.8282 59.42585),1000,64.59,1000,1000,171.48,2.94,1000,1000,43.69,0,10,0,0,6,44,0,0,20,Recharge,0,0,0,7,0,0,1,2,1,0,0,1,7,0,0,1000,1000,1000,22.72,1000,1000,118.79,108.17,298.54,1000,1000,127.79,55.71,1000,1000,"(0.0, 3.115]",3.45,172.5,15.8282,59.42585,2.8,1246,10
e17ff6799943d8a04f1f1a0d381c585a,10,299,0.48249859708193,6.9479797979798,200,CIC Trondheim Airport Hotell,Norway,396,POINT (10.90427 63.47111),1000,1000,1000,102.49,403.56,12.03,1000,171.93,76.88,0,0,0,19,23,42,0,12,23,Kople AS,1,1,0,2,0,0,0,0,1,6,0,2,21,1,0,73.15,291.75,1000,241.94,1000,1000,1000,1000,132.57,226.78,1000,376.97,4.85,258.73,1000,"(0.0, 3.115]",1.96,487.5,10.90427,63.47111,3.4,1247,10
3b6fe01f08dafef7c3fd00c55dc09592,4,161,0.482135284139101,6.94274809160305,150,Vattenfall - Borgavägen 8,Sweden,393,POINT (15.02432 64.8333),1000,1000,1000,13.52,1000,1000,53.5,1000,364.53,0,0,0,33,0,0,8,0,2,Vattenfall SE,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,396.37,1000,1000,9.11,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,"(0.0, 3.115]",3.07,187.5,15.02432,64.8333,1.8,1248,10
a2a7294c90642b0ee0d5ec49e7c0f998,16,229,0.474602798821549,6.8342803030303,150,Liertoppen Senter,Norway,396,POINT (10.30063 59.80943),1000,99.39,1000,94.11,28.75,12.63,95.03,1000,166.24,0,6,0,2,18,88,12,0,4,Eviny,0,6,2,9,10,3,5,2,8,5,2,0,15,0,0,1000,197.44,208.82,16.19,29.47,54.2,32.16,6.97,98.97,240.27,348.73,1000,167.95,1000,1000,"(0.0, 3.115]",1.96,452.5,10.30063,59.80943,4.4,1249,10
7c12401f35c2f845d45ec4dea30a41c2,10,261,0.474484427609428,6.83257575757576,150,"Vendelbopladsen, Hjørring",Denmark,396,POINT (9.99094 57.4601),1000,1000,384.43,7.7,1000,8.1,22.2,1000,66.97,0,0,6,52,0,166,36,0,42,Norlys,3,27,6,41,23,4,9,4,8,7,11,26,44,1,4,290.86,226.95,149.74,72.94,125.68,232.55,157.31,330.65,195.77,167.09,130.09,49.68,18.93,364.67,367.73,"(0.0, 3.115]",19.46,752.5,9.99094,57.4601,6.8,1250,10
774ce74b6f9b4c0daafd8b06922685a5,6,266,0.468413033286451,6.7451476793249,300,Recharge McDonalds Kivikko,Finland,395,POINT (25.05429 60.23109),1000,1000,1000,133.97,1000,7.72,60.31,33.75,24.12,0,0,0,19,0,62,60,12,3,Recharge,0,5,0,1,0,0,0,1,0,0,0,0,2,0,0,1000,224.35,1000,17.33,1000,1000,1000,414.37,1000,1000,1000,1000,36.88,1000,1000,"(0.0, 3.115]",1714.23,187.5,25.05429,60.23109,2.2,1251,10
0e19c0c228d2d6aa03de4a9a4f728c82,6,245,0.466565098261527,6.71853741496599,200,🔹 CC | Bollnäs Industrigatan 1 🔹,Sweden,392,POINT (16.40908 61.33101),1000,1000,69.76,74.86,1000,29.06,398.53,1000,24.31,0,0,3,1,0,6,2,0,3,Monta ApS,0,2,0,0,0,0,0,1,0,1,0,0,6,0,0,1000,481.05,1000,1000,1000,1000,1000,24.03,1000,429.57,1000,1000,99.72,1000,1000,"(0.0, 3.115]",2,150,16.40908,61.33101,1.6,1252,10
8cca45587f05426da73883f1aa4d9f74,8,106,0.463972781506339,6.68120805369128,150,Recharge Shell Verdal,Norway,149,POINT (11.46433 63.76929),1000,1000,277.03,463.68,424.93,3.08,1000,18.56,363,0,0,8,2,1,38,0,11,6,Recharge,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,1000,1000,1000,130.48,1000,1000,1000,1000,1000,1000,1000,1000,4.19,1000,1000,"(0.0, 3.115]",1.96,97.5,11.46433,63.76929,1.8,1253,10
