id,size_total,start_day,end_day,calendar_day_count_x,active_days_count,percentage_average,average_daily_minutes,operator,capacity_kw,address,title,country_name,calendar_day_count_y,geometry,road_distance_nan,road_distance_living_street,road_distance_primary,road_distance_residential,road_distance_secondary,road_distance_service,road_distance_tertiary,road_distance_trunk,road_distance_unclassified,road_distance_motorway,road_count_nan,road_count_living_street,road_count_primary,road_count_residential,road_count_secondary,road_count_service,road_count_tertiary,road_count_trunk,road_count_unclassified,road_count_motorway
7d6c6baa493871fdbdb06fc321abb272,1,2024-09-01,2025-08-30,364,105,10.831997863247864,155.98076923076923,Kople As,75.0,Østre Beiarveien 5 8110 MOLDJORD,PWR UP - Beiarn,Norway,364,POINT(14.7604 66.98871),1000.0,1000.0,91.80817506129287,454.3594539488515,23.416612356482684,58.06901341067175,1000.0,1000.0,95.39653803455843,1000.0,0,0,6,2,2,11,0,0,4,0.0
4d2e027600b2ea83462bd18048cd8bfe,1,2024-09-05,2025-08-18,348,121,10.738545657726695,154.63505747126436,Kople As,75.0,Espenesveien 75 9311 BRØSTADBOTN,Kople YX Brøstadbotn,Norway,348,POINT(17.70315 69.0933),1000.0,1000.0,1000.0,368.2805779794416,24.843073873430228,5.903719928882509,1000.0,1000.0,273.60545582774756,1000.0,0,0,0,6,2,10,0,0,14,0.0
a72260cea22b829cc647c738f06f6064,1,2025-04-07,2025-08-31,147,142,10.636810279667422,153.17006802721087,Kople As,180.0,E6 Røklandsenteret  8255 RØKLAND,PWR UP - Røkland,Norway,147,POINT(15.31518 66.98087),1000.0,1000.0,1000.0,194.70904304434532,95.21150403131239,2.33029653880767,1000.0,26.512934924755854,143.53794505693244,1000.0,0,0,0,17,9,18,0,9,1,0.0
cb2d5c723eda68efd4251ad33371e360,2,2024-09-01,2025-08-31,365,269,10.469368340943683,150.75890410958905,Kople AS,62.5,Plassen 1 8006 BODØ,ChargeUp - Nordland Taxi,Norway,365,POINT(14.39886 67.28696),1000.0,1000.0,1000.0,68.50158532558316,1000.0,11.028320413635344,152.63833209150897,74.6995410454522,1000.0,1000.0,0,0,0,97,0,88,12,63,0,0.0
f232f11904846cfd5f2df752ee4a01aa,2,2024-09-01,2025-08-31,365,341,10.342751141552512,148.93561643835616,Mer,50.0,Storgata 58 8900 BRØNNØYSUND,Havnesenteret,Norway,365,POINT(12.20712 65.47296),1000.0,1000.0,75.63636978782253,109.20149429022722,1000.0,5.462547619804698,20.138954800687095,1000.0,1000.0,1000.0,0,0,15,83,0,23,14,0,0,0.0
e7e0aaf79e62d04f4cc7942ef73f4e9e,4,2024-09-01,2025-08-31,365,341,10.069777397260275,145.00479452054793,Mer,150.0,Skilleveien 5 9411 HARSTAD,AMFI Kanebogen,Norway,365,POINT(16.56566 68.77846),1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0.0
31013ee21240556dbc13d39e11e0017e,4,2024-12-21,2025-08-31,254,238,9.906632764654418,142.65551181102362,Kople As,180.0,Trollvikveien 18 8530 BJERKVIK,Kople Bjerkvik hotell,Norway,254,POINT(17.55269 68.55041),1000.0,1000.0,1000.0,66.64769202133336,402.7542796934222,9.066864196911201,1000.0,37.426447836590434,272.9245419345323,1000.0,0,0,0,40,5,28,0,19,3,0.0
7c6e05e11c28e57d149dd5655d5356b7,1,2024-09-01,2025-08-31,365,325,9.807458143074582,141.22739726027396,Eviny,100.0,Idrettsgata 61 8370 LEKNES,Rema 1000 Leknes,Norway,365,POINT(13.62055 68.14511),1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0.0
f9c127088677b3ae7f4d795447075d35,1,2024-09-01,2025-08-31,365,333,9.739726027397262,140.25205479452055,Eviny,100.0,Industriveien 7 8480 ANDENES,Rema 1000 Andenes,Norway,365,POINT(16.10047 69.30986),1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0.0
e044abcbac71dd92fc7e8ecc4ed07f93,2,2025-02-27,2025-08-31,186,175,9.73902329749104,140.24193548387098,Eviny,75.0,Lofotgata 33 8300 SVOLVÆR,Alti Svolvær,Norway,186,POINT(14.55993 68.23444),1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,0,0,0,0,0,0,0,0.0
