id,size_total,active_days_count,percentage_average,average_daily_minutes,capacity_kw,station_name,country_name,calendar_day_count,geometry,living_street_dist,primary_dist,residential_dist,secondary_dist,road_service_dist,tertiary_dist,trunk_dist,unclassified_dist,motorway_dist,road_count_living_street,primary_count,road_count_residential,secondary_count,road_service_count,tertiary_count,trunk_count,unclassified_count,motorway_count,operator,accommodation_count,activities_count,beauty_count,cafe_and_restaurant_count,clothing_count,electronics_count,food_count,supermarket_count,hobby_count,home_count,medical_count,public_service_count,service_count,shopping_center_count,religious_count,accommodation_dist,activities_dist,beauty_dist,cafe_and_restaurant_dist,clothing_dist,electronics_dist,food_dist,grocery_dist,hobby_dist,home_dist,medical_dist,public_service_dist,service_dist,shopping_center_dist,religious_dist,occupation_rate,population,total_time_spent,lng,lat,good_feature_score,score_performance,occupation_rank,Supermarket,Shopping,Services,Hotel,Restaurant,Leisure,poi_categories_present,poi_categories_present_str,nearest_major_road_dist,nearest_major_road_type
a72260cea22b829cc647c738f06f6064,1,142,10.636810279667422,153.17006802721087,180.0,PWR UP - Røkland,Norway,147,POINT (15.31518 66.98087),1000.0,1000.0,194.71,95.21,2.33,1000.0,26.51,143.54,1000.0,0.0,0.0,17.0,9.0,18.0,0.0,9.0,1.0,0.0,Kople As,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,38.36,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,278.17,1000.0,1000.0,1000.0,61.6,40.28,1000.0,"(9.228, 13.841]",0.49,270.0,15.31518,66.98087,3.6,21,3.0,1.0,2.0,1.0,2.0,0.0,0.0,4,4/6,26.51,trunk
cb2d5c723eda68efd4251ad33371e360,2,269,10.469368340943683,150.75890410958905,62.5,ChargeUp - Nordland Taxi,Norway,365,POINT (14.39886 67.28696),1000.0,1000.0,68.5,1000.0,11.03,152.64,74.7,1000.0,1000.0,0.0,0.0,97.0,0.0,88.0,12.0,63.0,0.0,0.0,Kople AS,6.0,15.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,9.0,25.0,0.0,1.0,116.2,128.68,1000.0,258.97,1000.0,128.68,493.41,437.68,1000.0,371.19,1000.0,217.89,34.03,1000.0,162.55,"(9.228, 13.841]",0.49,472.5,14.39886,67.28696,5.0,22,3.0,2.0,2.0,34.0,6.0,6.0,16.0,6,6/6,74.7,trunk
f232f11904846cfd5f2df752ee4a01aa,2,341,10.342751141552512,148.93561643835616,50.0,Havnesenteret,Norway,365,POINT (12.20712 65.47296),1000.0,75.64,109.2,1000.0,5.46,20.14,1000.0,1000.0,1000.0,0.0,15.0,83.0,0.0,23.0,14.0,0.0,0.0,0.0,Mer,6.0,5.0,3.0,9.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,12.0,21.0,1.0,3.0,262.38,49.08,67.33,64.44,38.87,50.13,52.62,55.55,66.8,46.11,44.12,72.3,60.31,70.97,310.55,"(9.228, 13.841]",1.96,752.5,12.20712,65.47296,7.4,23,3.0,4.0,14.0,40.0,6.0,12.0,8.0,6,6/6,75.64,primary
31013ee21240556dbc13d39e11e0017e,4,238,9.906632764654418,142.65551181102362,180.0,Kople Bjerkvik hotell,Norway,254,POINT (17.55269 68.55041),1000.0,1000.0,66.65,402.75,9.07,1000.0,37.43,272.92,1000.0,0.0,0.0,40.0,5.0,28.0,0.0,19.0,3.0,0.0,Kople As,2.0,3.0,0.0,5.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,7.0,8.0,0.0,1.0,12.19,230.23,1000.0,98.94,74.62,1000.0,275.07,201.75,1000.0,185.43,1000.0,139.09,11.42,1000.0,416.71,"(9.228, 13.841]",0.49,482.5,17.55269,68.55041,5.2,24,3.0,2.0,3.0,15.0,2.0,6.0,4.0,6,6/6,37.43,trunk
2aa9415f4a702f9e10823ca808633b79,1,301,9.714944824961949,139.89520547945204,225.0,Recharge Esso Rønvik,Norway,365,POINT (14.40705 67.29354),1000.0,211.85,213.04,1000.0,25.21,18.4,1000.0,89.64,1000.0,0.0,17.0,50.0,0.0,121.0,11.0,0.0,3.0,0.0,Recharge,0.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,4.0,13.0,0.0,1.0,1000.0,216.09,1000.0,343.07,1000.0,1000.0,1000.0,195.62,234.6,327.45,1000.0,210.77,43.82,1000.0,417.29,"(9.228, 13.841]",0.49,337.5,14.40705,67.29354,5.0,25,3.0,3.0,5.0,17.0,0.0,1.0,7.0,5,5/6,211.85,primary
02f8f5166b240ad19dcad7453b8f2668,1,338,9.588660578386609,138.07671232876712,175.0,Ishavsveien - Manndalen,Norway,365,POINT (20.5506 69.54169),1000.0,1000.0,41.68,25.56,19.24,1000.0,69.34,38.89,1000.0,0.0,0.0,11.0,12.0,20.0,0.0,12.0,5.0,0.0,Kople As,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,163.58,413.21,1000.0,1000.0,1000.0,1000.0,1000.0,110.28,64.57,1000.0,1000.0,182.73,23.94,1000.0,1000.0,"(9.228, 13.841]",0.49,300.0,20.5506,69.54169,4.6,26,3.0,3.0,2.0,2.0,2.0,0.0,2.0,5,5/6,69.34,trunk
f789526ac445984e3c8135c1d17423ef,7,343,9.471841704718416,136.3945205479452,150.0,Amfi Narvik Malmporten,Norway,365,POINT (17.42155 68.43795),1000.0,1000.0,159.22,1000.0,4.54,95.86,204.19,112.03,1000.0,0.0,0.0,85.0,0.0,102.0,49.0,25.0,10.0,0.0,Mer,4.0,28.0,3.0,22.0,11.0,4.0,4.0,9.0,13.0,12.0,4.0,29.0,55.0,1.0,2.0,214.2,60.84,97.28,98.88,57.68,103.93,55.7,93.84,55.43,34.68,56.45,150.83,94.5,63.5,365.49,"(9.228, 13.841]",0.49,752.5,17.42155,68.43795,7.4,27,3.0,10.0,41.0,91.0,4.0,26.0,30.0,6,6/6,204.19,trunk
bbc97c4ba71332f2ffab1251e50155d3,4,309,9.409579528158297,135.49794520547945,400.0,St1 Bjerkvik,Norway,365,POINT (17.55747 68.55121),1000.0,1000.0,23.14,192.14,13.98,1000.0,27.87,239.24,1000.0,0.0,0.0,37.0,5.0,29.0,0.0,18.0,3.0,0.0,Recharge,2.0,3.0,0.0,5.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,7.0,8.0,0.0,1.0,176.81,155.28,1000.0,133.2,156.94,1000.0,459.82,54.54,1000.0,60.02,1000.0,155.65,14.96,1000.0,334.78,"(9.228, 13.841]",0.49,482.5,17.55747,68.55121,5.8,28,3.0,2.0,3.0,15.0,2.0,6.0,4.0,6,6/6,27.87,trunk
4ad0525fd4c60cd6639d7b0675f4e8d0,2,236,9.056485126859142,130.41338582677164,180.0,Kople Tjeldsundbrua Hotel,Norway,254,POINT (16.59048 68.62511),1000.0,78.06,431.21,1000.0,2.71,1000.0,15.99,1000.0,1000.0,0.0,6.0,1.0,0.0,20.0,0.0,7.0,0.0,0.0,Kople As,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.61,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,41.1,1000.0,1000.0,"(4.614, 9.228]",0.49,150.0,16.59048,68.62511,3.0,29,4.0,0.0,0.0,1.0,1.0,0.0,0.0,2,2/6,15.99,trunk
9b480c73cc2a5e9b705485e4c7a6697d,4,293,9.000570776255707,129.60821917808218,200.0,Recharge Esso Langneset,Norway,365,POINT (14.13423 66.3045),1000.0,1000.0,93.5,1000.0,8.27,110.44,62.84,54.28,1000.0,0.0,0.0,56.0,0.0,61.0,16.0,32.0,12.0,0.0,Recharge,2.0,4.0,0.0,5.0,3.0,2.0,2.0,4.0,3.0,6.0,0.0,4.0,20.0,4.0,0.0,376.6,148.23,1000.0,208.39,196.91,24.88,193.02,41.91,66.42,53.29,1000.0,348.63,43.4,200.33,1000.0,"(4.614, 9.228]",0.49,572.5,14.13423,66.3045,6.2,30,4.0,8.0,18.0,24.0,2.0,7.0,4.0,6,6/6,62.84,trunk
