id,road_distance_nan,road_distance_living_street,road_distance_primary,road_distance_residential,road_distance_secondary,road_distance_service,road_distance_tertiary,road_distance_trunk,road_distance_unclassified,road_distance_motorway,road_count_nan,road_count_living_street,road_count_primary,road_count_residential,road_count_secondary,road_count_service,road_count_tertiary,road_count_trunk,road_count_unclassified,road_count_motorway
2aa9415f4a702f9e10823ca808633b79,1000,1000.0,211.8486952081509,213.03510003964428,1000.0,25.210756796180267,18.400155364726587,1000.0,89.64148800637655,1000,0,0,17,50,0,121,11,0,3,0
2b92d930e6e49e8d2a4df1cd9a2f5214,1000,1000.0,59.00861666431837,66.53195080000515,1000.0,7.492992355166804,62.090337350480794,1000.0,23.519383707381206,1000,0,0,16,53,0,64,11,0,2,0
2c0a1c43ce2b61b2fce6a2a3a7f3856f,1000,1000.0,16.76954315408864,131.53741029410392,1000.0,29.353180771462565,299.0924054307888,1000.0,1000.0,1000,0,0,14,40,0,46,4,0,0,0
2e2147715e658d975dcbe4aede1e5b74,1000,1000.0,1000.0,1000.0,1000.0,1.6109492428080514,1000.0,16.57148626129614,193.4786339602348,1000,0,0,0,0,0,68,0,17,10,0
303e23a20828d3bd51eecda66383e525,1000,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000,0,0,0,0,0,0,0,0,0,0
307a24b0611fae9331c688aefc6b341a,1000,1000.0,13.339426417313469,128.5483071337884,1000.0,0.20708696352701178,136.5974230963158,1000.0,369.98128228100774,1000,0,0,5,9,0,58,3,0,2,0
31013ee21240556dbc13d39e11e0017e,1000,1000.0,1000.0,66.64769202133336,402.7542796934222,9.066864196911201,1000.0,37.426447836590434,272.9245419345323,1000,0,0,0,40,5,28,0,19,3,0
32e82c4be863f8ef2e7e5bab37969c7b,1000,1000.0,1000.0,95.56288667494083,1000.0,17.982519271270412,31.374443300526814,9.968798131111413,1000.0,1000,0,0,0,96,0,74,43,7,0,0
3324b0cd0ee1403f8de33e3d932bce46,1000,1000.0,134.5056761627374,17.621794698006276,1000.0,3.9345823743774764,63.05289419040955,1000.0,290.33687397673003,1000,0,0,16,28,0,25,6,0,3,0
3336ab7244f6bc570d75621a021b94bd,1000,1000.0,1000.0,486.6491879211616,1000.0,0.07340747278483252,1000.0,10.521422767284337,209.70465228963002,1000,0,0,0,1,0,18,0,3,2,0
338f6ce2681c3f93982a668d67837cfc,1000,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000,0,0,0,0,0,0,0,0,0,0
35c10ac30ad1ca52d7849032f6d539d2,1000,1000.0,416.74816544086866,34.32462248403383,1000.0,8.292154286407325,28.063188025260562,1000.0,481.60436646533293,1000,0,0,18,81,0,137,34,0,2,0
376f11c79a0280da153fb9ea04946928,1000,1000.0,1000.0,31.150704052756623,31.958344399374358,1.0660018097408668,1000.0,1000.0,65.36803097949014,1000,0,0,0,26,9,41,0,0,6,0
37afdb9ab9c570b1ce77987083c083db,1000,1000.0,42.49448937683549,1000.0,1000.0,14.364029707884185,1000.0,170.1924532682109,172.82767209905796,1000,0,0,6,0,0,12,0,7,2,0
3807e79167fa49636658a9d7466ef198,1000,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000,0,0,0,0,0,0,0,0,0,0
