id,size_total,start_day,end_day,calendar_day_count_x,active_days_count,percentage_average,average_daily_minutes,operator,capacity_kw,address,title,country_name,calendar_day_count_y,geometry,accommodation_count,activities_count,beauty_count,cafe_and_restaurant_count,clothing_count,electronics_count,food_count,grocery_count,hobby_count,home_count,medical_count,public_service_count,service_count,shopping_center_count,religious_count,accommodation_dist,activities_dist,beauty_dist,cafe_and_restaurant_dist,clothing_dist,electronics_dist,food_dist,grocery_dist,hobby_dist,home_dist,medical_dist,public_service_dist,service_dist,shopping_center_dist,religious_dist
2c0a1c43ce2b61b2fce6a2a3a7f3856f,2,2025-04-07,2025-08-31,147,144,10.988756613756612,158.23809523809524,Kople As,180.0,Chr. Tidemanns vei 1 8150 ØRNES,LAD OPP - Ørnes - AC,Norway,147,POINT(13.7054 66.87337),0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,4.0,0.0,1.0,1000.0,96.68657669376874,1000.0,1000.0,80.73592545356593,1000.0,1000.0,74.20964778638822,113.09148715349184,1000.0,1000.0,120.71463918832511,84.10115839728196,1000.0,491.5399443245429
bd4bb2002760ffeee11970b085a2cc77,4,2024-09-01,2025-08-31,365,339,10.879661339421615,156.66712328767125,Uno-X,300.0,Sjøgata 47A 8200 FAUSKE,Uno-X Fauske,Norway,365,POINT(15.38319 67.25873),0.0,10.0,0.0,4.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,9.0,20.0,0.0,1.0,1000.0,167.51596559203412,1000.0,283.88711539311396,1000.0,120.11584404993027,272.4592031008925,75.26865442012698,413.5964803096921,330.7796273666406,160.3901353270242,80.52481965076755,21.605160748801744,1000.0,356.3862521579542
ca229a07bbf1291dee1067adc73e0194,1,2024-09-01,2025-08-31,365,342,10.837709284627095,156.06301369863013,Kople As,150.0,Sjøgata 43 9300 FINNSNES,Ishavskraft - Finnsnes,Norway,365,POINT(18.00306 69.23121),0.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,6.0,11.0,0.0,1.0,1000.0,361.51086203510323,1000.0,1000.0,1000.0,59.743255695110925,1000.0,86.87691917845217,420.00256501530043,106.8167756117891,1000.0,93.11582190926627,1.5638969731842518,1000.0,318.9862808719737
7d6c6baa493871fdbdb06fc321abb272,1,2024-09-01,2025-08-30,364,105,10.831997863247864,155.98076923076923,Kople As,75.0,Østre Beiarveien 5 8110 MOLDJORD,PWR UP - Beiarn,Norway,364,POINT(14.7604 66.98871),2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,79.69881601826414,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,25.82990834232344,1000.0,1000.0,1000.0,1000.0,0.3581675708474669,1000.0,1000.0
4d2e027600b2ea83462bd18048cd8bfe,1,2024-09-05,2025-08-18,348,121,10.738545657726695,154.63505747126436,Kople As,75.0,Espenesveien 75 9311 BRØSTADBOTN,Kople YX Brøstadbotn,Norway,348,POINT(17.70315 69.0933),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,386.8827140737114,1000.0,1000.0,1000.0,400.18975997515184,0.23612561411059696,1000.0,1000.0
a72260cea22b829cc647c738f06f6064,1,2025-04-07,2025-08-31,147,142,10.636810279667422,153.17006802721087,Kople As,180.0,E6 Røklandsenteret  8255 RØKLAND,PWR UP - Røkland,Norway,147,POINT(15.31518 66.98087),2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,38.357636829087724,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,278.1689521729553,1000.0,1000.0,1000.0,61.5964813575762,40.28347118976633,1000.0
cb2d5c723eda68efd4251ad33371e360,2,2024-09-01,2025-08-31,365,269,10.469368340943683,150.75890410958905,Kople AS,62.5,Plassen 1 8006 BODØ,ChargeUp - Nordland Taxi,Norway,365,POINT(14.39886 67.28696),6.0,15.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,9.0,25.0,0.0,1.0,116.20485979859242,128.6815357793165,1000.0,258.97015291842587,1000.0,128.6815357793165,493.41054393923145,437.6782990748081,1000.0,371.19375814139113,1000.0,217.89454705554243,34.02597691988645,1000.0,162.55435850997372
f232f11904846cfd5f2df752ee4a01aa,2,2024-09-01,2025-08-31,365,341,10.342751141552512,148.93561643835616,Mer,50.0,Storgata 58 8900 BRØNNØYSUND,Havnesenteret,Norway,365,POINT(12.20712 65.47296),6.0,5.0,3.0,9.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,12.0,21.0,1.0,3.0,262.3772082715523,49.076150931378855,67.32875513166495,64.43657496662364,38.8737241630879,50.127194751476196,52.61869445750044,55.55243568336498,66.8004382629629,46.109672995397744,44.115700797864655,72.30083126083994,60.31234275265393,70.9713411037183,310.5541879248636
e7e0aaf79e62d04f4cc7942ef73f4e9e,4,2024-09-01,2025-08-31,365,341,10.069777397260275,145.00479452054793,Mer,150.0,Skilleveien 5 9411 HARSTAD,AMFI Kanebogen,Norway,365,POINT(16.56566 68.77846),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
31013ee21240556dbc13d39e11e0017e,4,2024-12-21,2025-08-31,254,238,9.906632764654418,142.65551181102362,Kople As,180.0,Trollvikveien 18 8530 BJERKVIK,Kople Bjerkvik hotell,Norway,254,POINT(17.55269 68.55041),2.0,3.0,0.0,5.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,7.0,8.0,0.0,1.0,12.193599404284859,230.23203385696547,1000.0,98.94497740986355,74.62261558206477,1000.0,275.0719389482949,201.75492819808156,1000.0,185.42502558386641,1000.0,139.09186880379522,11.415633748562996,1000.0,416.7094583437681
